nom_poblacio;comarca;altitud;poblacio
Abella de la Conca;Pallars Jussà;956;167
Abrera;Baix Llobregat;105;12697
Àger;Noguera;642;580
Agramunt;Urgell;337;5479
Aguilar de Segarra;Bages;480;287
Agullana;Alt Empordà;166;903
Aiguafreda;Vallès Oriental;404;2552
Aiguamúrcia;Alt Camp;314;961
Aiguaviva;Gironès;169;780
Aitona;Segrià;110;2521
Alamús, els;Segrià;212;781
Alàs i Cerc;Alt Urgell;768;329
Albagés, l';Garrigues;372;348
Albanyà;Alt Empordà;239;180
Albatàrrec;Segrià;147;2217
Albesa;Noguera;237;1579
Albi, l';Garrigues;526;755
Albinyana;Baix Penedès;198;2581
Albiol, l';Baix Camp;823;528
Albons;Baix Empordà;25;797
Alcanar;Montsià;72;9612
Alcanó;Segrià;214;240
Alcarràs;Segrià;137;9637
Alcoletge;Segrià;213;3470
Alcover;Alt Camp;243;5290
Aldea, l';Baix Ebre;9;4332
Aldover;Baix Ebre;14;862
Aleixar, l';Baix Camp;262;924
Alella;Maresme;90;10079
Alfara de Carles;Baix Ebre;334;359
Alfarràs;Segrià;281;2795
Alfés;Segrià;236;300
Alforja;Baix Camp;374;1928
Algerri;Noguera;345;422
Alguaire;Segrià;304;3040
Alins;Pallars Sobirà;1048;285
Alió;Alt Camp;263;496
Almacelles;Segrià;247;6922
Almatret;Segrià;462;302
Almenar;Segrià;329;3401
Almoster;Baix Camp;290;1334
Alòs de Balaguer;Noguera;297;121
Alp;Cerdanya;1158;1717
Alpens;Osona;855;281
Alpicat;Segrià;264;6333
Alt Àneu;Pallars Sobirà;1076;441
Altafulla;Tarragonès;52;5609
Amer;Selva;186;2422
Ametlla de Mar, l';Baix Ebre;19;7209
Ametlla del Vallès, l';Vallès Oriental;281;9020
Ampolla, l';Baix Ebre;8;3563
Amposta;Montsià;8;21807
Anglès;Selva;181;5682
Anglesola;Urgell;335;1350
Arbeca;Garrigues;332;2100
Arboç, l';Baix Penedès;166;5604
Arbolí;Baix Camp;714;122
Arbúcies;Selva;291;6474
Arenys de Mar;Maresme;10;16155
Arenys de Munt;Maresme;121;9278
Argelaguer;Garrotxa;183;439
Argençola;Anoia;716;216
Argentera, l';Baix Camp;344;126
Argentona;Maresme;88;12745
Armentera, l';Alt Empordà;7;1043
Arnes;Terra Alta;506;448
Arres;Val d'Aran;1224;61
Arsèguel;Alt Urgell;950;80
Artés;Bages;316;5902
Artesa de Lleida;Segrià;202;1505
Artesa de Segre;Noguera;318;3470
Ascó;Ribera d'Ebre;70;1601
Aspa;Segrià;256;221
Avellanes i Santa Linya, les;Noguera;567;459
Avià;Berguedà;677;2237
Avinyó;Bages;353;2270
Avinyonet de Puigventós;Alt Empordà;70;1676
Avinyonet del Penedès;Alt Penedès;280;1706
Badalona;Barcelonès;6;223506
Badia del Vallès;Vallès Occidental;120;13163
Bagà;Berguedà;785;2167
Baix Pallars;Pallars Sobirà;591;345
Balaguer;Noguera;233;17460
Balenyà;Osona;587;3948
Balsareny;Bages;327;3249
Banyeres del Penedès;Baix Penedès;173;3271
Banyoles;Pla de l'Estany;172;20187
Barbens;Pla d'Urgell;283;979
Barberà de la Conca;Conca de Barberà;475;486
Barberà del Vallès;Vallès Occidental;146;33082
Barcelona;Barcelonès;9;1636193
Baronia de Rialb, la;Noguera;388;229
Bàscara;Alt Empordà;66;1034
Bassella;Alt Urgell;423;223
Batea;Terra Alta;376;1863
Bausen;Val d'Aran;931;66
Begues;Baix Llobregat;399;7450
Begur;Baix Empordà;200;4177
Belianes;Urgell;373;508
Bellaguarda;Garrigues;640;288
Bellcaire d'Empordà;Baix Empordà;35;713
Bellcaire d'Urgell;Noguera;267;1229
Bell-lloc d'Urgell;Pla d'Urgell;196;2342
Bellmunt d'Urgell;Noguera;379;178
Bellmunt del Priorat;Priorat;261;272
Bellprat;Anoia;653;74
Bellpuig;Urgell;308;5168
Bellvei;Baix Penedès;108;2346
Bellver de Cerdanya;Cerdanya;1061;2176
Bellvís;Pla d'Urgell;207;2243
Benavent de Segrià;Segrià;234;1563
Benifallet;Baix Ebre;19;739
Benissanet;Ribera d'Ebre;26;1169
Berga;Berguedà;704;16762
Besalú;Garrotxa;151;2480
Bescanó;Gironès;102;5156
Beuda;Garrotxa;338;202
Bigues i Riells del Fai;Vallès Oriental;307;9757
Biosca;Segarra;455;182
Bisbal d'Empordà, la;Baix Empordà;39;11163
Bisbal de Falset, la;Priorat;372;219
Bisbal del Penedès, la;Baix Penedès;189;4062
Biure;Alt Empordà;81;249
Blancafort;Conca de Barberà;428;394
Blanes;Selva;13;40579
Boadella i les Escaules;Alt Empordà;82;258
Bolvir;Cerdanya;1145;518
Bonastre;Baix Penedès;177;742
Bòrdes, Es;Val d'Aran;852;282
Bordils;Gironès;42;1815
Borges Blanques, les;Garrigues;304;6248
Borges del Camp, les;Baix Camp;238;2148
Borrassà;Alt Empordà;73;776
Borredà;Berguedà;854;448
Bossòst;Val d'Aran;710;1121
Bot;Terra Alta;286;566
Botarell;Baix Camp;196;1102
Bovera;Garrigues;297;263
Bràfim;Alt Camp;236;687
Breda;Selva;169;3842
Bruc, el;Anoia;489;2218
Brull, el;Osona;843;278
Brunyola i Sant Martí Sapresa;Selva;247;388
Cabacés;Priorat;358;304
Cabanabona;Noguera;421;62
Cabanelles;Alt Empordà;194;279
Cabanes;Alt Empordà;26;949
Cabanyes, les;Alt Penedès;252;999
Cabó;Alt Urgell;768;98
Cabra del Camp;Alt Camp;493;1254
Cabrera d'Anoia;Anoia;299;1606
Cabrera de Mar;Maresme;104;4848
Cabrils;Maresme;147;7729
Cadaqués;Alt Empordà;23;2889
Calaf;Anoia;680;3590
Calafell;Baix Penedès;67;29102
Calders;Moianès;552;1101
Caldes d'Estrac;Maresme;33;3148
Caldes de Malavella;Selva;84;8196
Caldes de Montbui;Vallès Oriental;203;17932
Calella;Maresme;5;19363
Calldetenes;Osona;489;2532
Callús;Bages;260;2122
Calonge de Segarra;Anoia;688;195
Calonge i Sant Antoni;Baix Empordà;22;11712
Camarasa;Noguera;321;786
Camarles;Baix Ebre;13;3309
Cambrils;Baix Camp;24;35675
Camós;Pla de l'Estany;168;715
Campdevànol;Ripollès;738;3217
Campelles;Ripollès;1303;162
Campins;Vallès Oriental;321;557
Campllong;Gironès;113;535
Camprodon;Ripollès;947;2469
Canejan;Val d'Aran;906;92
Canet d'Adri;Gironès;217;750
Canet de Mar;Maresme;15;14845
Canonja, la;Tarragonès;50;5873
Canovelles;Vallès Oriental;175;16761
Cànoves i Samalús;Vallès Oriental;346;3289
Cantallops;Alt Empordà;200;330
Canyelles;Garraf;142;5007
Capafonts;Baix Camp;751;121
Capçanes;Priorat;223;407
Capellades;Anoia;317;5344
Capmany;Alt Empordà;107;672
Capolat;Berguedà;1279;89
Cardedeu;Vallès Oriental;193;18785
Cardona;Bages;507;4575
Carme;Anoia;351;754
Caseres;Terra Alta;324;233
Cassà de la Selva;Gironès;137;10680
Casserres;Berguedà;611;1646
Castell de l'Areny;Berguedà;954;69
Castell de Mur;Pallars Jussà;532;171
Castellar de la Ribera;Solsonès;657;135
Castellar de n'Hug;Berguedà;1395;176
Castellar del Riu;Berguedà;920;175
Castellar del Vallès;Vallès Occidental;331;24933
Castellbell i el Vilar;Bages;178;3889
Castellbisbal;Vallès Occidental;132;12735
Castellcir;Moianès;773;778
Castelldans;Garrigues;353;895
Castelldefels;Baix Llobregat;3;67307
Castellet i la Gornal;Alt Penedès;137;2474
Castellfollit de la Roca;Garrotxa;296;926
Castellfollit de Riubregós;Anoia;467;159
Castellfollit del Boix;Bages;700;460
Castellgalí;Bages;266;2236
Castellnou de Bages;Bages;469;1431
Castellnou de Seana;Pla d'Urgell;269;715
Castelló d'Empúries;Alt Empordà;17;11611
Castelló de Farfanya;Noguera;358;508
Castellolí;Anoia;415;636
Castell-Platja d'Aro;Baix Empordà;5;11757
Castellserà;Urgell;267;961
Castellterçol;Moianès;726;2655
Castellvell del Camp;Baix Camp;219;2946
Castellví de la Marca;Alt Penedès;198;1614
Castellví de Rosanes;Baix Llobregat;178;2096
Catllar, el;Tarragonès;59;4921
Cava;Alt Urgell;1335;51
Cellera de Ter, la;Selva;166;1967
Celrà;Gironès;71;5503
Centelles;Osona;496;7641
Cercs;Berguedà;650;1169
Cerdanyola del Vallès;Vallès Occidental;82;57291
Cervelló;Baix Llobregat;122;9307
Cervera;Segarra;548;9393
Cervià de les Garrigues;Garrigues;444;642
Cervià de Ter;Gironès;45;999
Cistella;Alt Empordà;130;307
Ciutadilla;Urgell;519;190
Clariana de Cardener;Solsonès;500;162
Cogul, el;Garrigues;279;151
Colera;Alt Empordà;10;468
Coll de Nargó;Alt Urgell;573;548
Collbató;Baix Llobregat;388;4726
Colldejou;Baix Camp;431;172
Collsuspina;Moianès;901;398
Colomers;Baix Empordà;41;204
Coma i la Pedra, la;Solsonès;1004;278
Conca de Dalt;Pallars Jussà;507;427
Conesa;Conca de Barberà;705;109
Constantí;Tarragonès;81;6685
Copons;Anoia;432;333
Corbera d'Ebre;Terra Alta;337;993
Corbera de Llobregat;Baix Llobregat;342;15210
Corbins;Segrià;211;1462
Corçà;Baix Empordà;43;1268
Cornellà de Llobregat;Baix Llobregat;27;89039
Cornellà del Terri;Pla de l'Estany;96;2407
Cornudella de Montsant;Priorat;533;978
Creixell;Tarragonès;48;3981
Crespià;Pla de l'Estany;138;276
Cruïlles, Monells i Sant Sadurní de l'Heura;Baix Empordà;110;1338
Cubelles;Garraf;12;16386
Cubells;Noguera;499;356
Cunit;Baix Penedès;10;14622
Darnius;Alt Empordà;193;535
Das;Cerdanya;1219;267
Deltebre;Baix Ebre;6;11656
Dosrius;Maresme;147;5710
Duesaigües;Baix Camp;268;232
Escala, l';Alt Empordà;14;10520
Esparreguera;Baix Llobregat;187;22365
Espinelves;Osona;752;248
Espluga Calba, l';Garrigues;434;331
Espluga de Francolí, l';Conca de Barberà;411;3698
Esplugues de Llobregat;Baix Llobregat;110;46414
Espolla;Alt Empordà;124;408
Esponellà;Pla de l'Estany;142;489
Espot;Pallars Sobirà;1318;377
Espunyola, l';Berguedà;803;265
Esquirol, l';Osona;693;2245
Estamariu;Alt Urgell;1084;128
Estany, l';Moianès;870;391
Estaràs;Segarra;596;169
Esterri d'Àneu;Pallars Sobirà;957;841
Esterri de Cardós;Pallars Sobirà;1212;62
Falset;Priorat;364;2740
Far d'Empordà, el;Alt Empordà;44;625
Farrera;Pallars Sobirà;1294;121
Fatarella, la;Terra Alta;487;891
Febró, la;Baix Camp;754;39
Figaró-Montmany;Vallès Oriental;330;1108
Fígols;Berguedà;1154;45
Fígols i Alinyà;Alt Urgell;602;266
Figuera, la;Priorat;576;123
Figueres;Alt Empordà;39;47088
Figuerola del Camp;Alt Camp;474;332
Flaçà;Gironès;34;1130
Flix;Ribera d'Ebre;47;3426
Floresta, la;Garrigues;316;154
Fogars de la Selva;Selva;45;1564
Fogars de Montclús;Vallès Oriental;386;493
Foixà;Baix Empordà;85;288
Folgueroles;Osona;552;2254
Fondarella;Pla d'Urgell;243;778
Fonollosa;Bages;525;1546
Fontanals de Cerdanya;Cerdanya;1180;533
Fontanilles;Baix Empordà;29;163
Fontcoberta;Pla de l'Estany;207;1466
Font-rubí;Alt Penedès;319;1446
Foradada;Noguera;455;191
Forallac;Baix Empordà;51;1765
Forès;Conca de Barberà;866;48
Fornells de la Selva;Gironès;102;2693
Fortià;Alt Empordà;8;778
Franqueses del Vallès, les;Vallès Oriental;181;20322
Freginals;Montsià;126;388
Fuliola, la;Urgell;275;1238
Fulleda;Garrigues;581;98
Gaià;Bages;481;179
Galera, la;Montsià;112;700
Gallifa;Vallès Occidental;502;186
Gandesa;Terra Alta;363;3100
Garcia;Ribera d'Ebre;73;527
Garidells, els;Alt Camp;132;196
Garriga, la;Vallès Oriental;252;16788
Garrigàs;Alt Empordà;101;458
Garrigoles;Baix Empordà;92;177
Garriguella;Alt Empordà;56;922
Gavà;Baix Llobregat;9;46974
Gavet de la Conca;Pallars Jussà;421;261
Gelida;Alt Penedès;196;7814
Ger;Cerdanya;1135;512
Gimenells i el Pla de la Font;Segrià;258;1109
Ginestar;Ribera d'Ebre;26;790
Girona;Gironès;70;102666
Gironella;Berguedà;469;4940
Gisclareny;Berguedà;1340;28
Godall;Montsià;168;609
Golmés;Pla d'Urgell;275;1893
Gombrèn;Ripollès;919;200
Gósol;Berguedà;1423;233
Granada, la;Alt Penedès;272;2207
Granadella, la;Garrigues;528;724
Granera;Moianès;782;80
Granja d'Escarp, la;Segrià;78;923
Granollers;Vallès Oriental;145;61983
Granyanella;Segarra;508;136
Granyena de les Garrigues;Garrigues;366;147
Granyena de Segarra;Segarra;636;157
Gratallops;Priorat;321;236
Gualba;Vallès Oriental;177;1610
Gualta;Baix Empordà;15;439
Guardiola de Berguedà;Berguedà;720;918
Guiamets, els;Priorat;226;279
Guils de Cerdanya;Cerdanya;1385;573
Guimerà;Urgell;555;261
Guingueta d'Àneu, la;Pallars Sobirà;919;298
Guissona;Segarra;484;7390
Guixers;Solsonès;840;132
Gurb;Osona;516;2702
Horta de Sant Joan;Terra Alta;542;1154
Hospitalet de Llobregat, l';Barcelonès;8;265444
Hostalets de Pierola, els;Anoia;361;3127
Hostalric;Selva;189;4370
Igualada;Anoia;313;40767
Isona i Conca Dellà;Pallars Jussà;659;1057
Isòvol;Cerdanya;1088;318
Ivars d'Urgell;Pla d'Urgell;265;1560
Ivars de Noguera;Noguera;314;327
Ivorra;Segarra;567;100
Jafre;Baix Empordà;44;386
Jonquera, la;Alt Empordà;110;3317
Jorba;Anoia;380;806
Josa i Tuixén;Alt Urgell;1206;105
Juià;Gironès;94;334
Juncosa;Garrigues;575;401
Juneda;Garrigues;264;3558
Les;Val d'Aran;634;970
Linyola;Pla d'Urgell;248;2723
Llacuna, la;Anoia;615;942
Lladó;Alt Empordà;197;827
Lladorre;Pallars Sobirà;1052;254
Lladurs;Solsonès;834;190
Llagosta, la;Vallès Oriental;45;13155
Llagostera;Gironès;160;9024
Llambilles;Gironès;143;731
Llanars;Ripollès;983;533
Llançà;Alt Empordà;4;4905
Llardecans;Segrià;397;421
Llavorsí;Pallars Sobirà;811;343
Lleida;Segrià;155;140797
Llers;Alt Empordà;142;1245
Lles de Cerdanya;Cerdanya;1471;286
Lliçà d'Amunt;Vallès Oriental;145;15801
Lliçà de Vall;Vallès Oriental;125;6760
Llimiana;Pallars Jussà;790;146
Llinars del Vallès;Vallès Oriental;198;10205
Llívia;Cerdanya;1224;1495
Lloar, el;Priorat;219;104
Llobera;Solsonès;855;202
Llorac;Conca de Barberà;648;96
Llorenç del Penedès;Baix Penedès;162;2393
Lloret de Mar;Selva;5;38941
Llosses, les;Ripollès;895;205
Lluçà;Osona;745;279
Maçanet de Cabrenys;Alt Empordà;370;724
Maçanet de la Selva;Selva;100;7572
Madremanya;Gironès;177;302
Maià de Montcal;Garrotxa;241;462
Maials;Segrià;395;911
Maldà;Urgell;428;234
Malgrat de Mar;Maresme;4;19093
Malla;Osona;580;272
Manlleu;Osona;461;20883
Manresa;Bages;238;77452
Marçà;Priorat;315;593
Margalef;Priorat;379;107
Marganell;Bages;291;282
Martorell;Baix Llobregat;56;28684
Martorelles;Vallès Oriental;96;4859
Mas de Barberans;Montsià;348;556
Masarac;Alt Empordà;85;294
Masdenverge;Montsià;54;1129
Masies de Roda, les;Osona;468;733
Masies de Voltregà, les;Osona;533;3133
Masllorenç;Baix Penedès;304;547
Masnou, el;Maresme;27;23829
Masó, la;Alt Camp;115;285
Maspujols;Baix Camp;214;859
Masquefa;Anoia;257;9744
Masroig, el;Priorat;192;479
Massalcoreig;Segrià;94;589
Massanes;Selva;164;825
Massoteres;Segarra;502;220
Matadepera;Vallès Occidental;423;9752
Mataró;Maresme;28;128956
Mediona;Alt Penedès;430;2517
Menàrguens;Noguera;205;774
Meranges;Cerdanya;1539;111
Mieres;Garrotxa;286;341
Milà, el;Alt Camp;166;189
Miralcamp;Pla d'Urgell;287;1364
Miravet;Ribera d'Ebre;43;682
Moià;Moianès;717;6548
Molar, el;Priorat;228;296
Molins de Rei;Baix Llobregat;37;26242
Mollerussa;Pla d'Urgell;250;14730
Mollet de Peralada;Alt Empordà;59;202
Mollet del Vallès;Vallès Oriental;65;51294
Molló;Ripollès;1182;365
Molsosa, la;Solsonès;667;99
Monistrol de Calders;Moianès;447;742
Monistrol de Montserrat;Bages;161;3166
Montagut i Oix;Garrotxa;276;958
Montblanc;Conca de Barberà;350;7410
Montbrió del Camp;Baix Camp;132;3073
Montcada i Reixac;Vallès Occidental;36;36666
Montclar;Berguedà;728;136
Montellà i Martinet;Cerdanya;967;615
Montesquiu;Osona;577;1059
Montferrer i Castellbò;Alt Urgell;732;1083
Montferri;Alt Camp;229;419
Montgai;Noguera;286;647
Montgat;Maresme;20;12277
Montmajor;Berguedà;756;484
Montmaneu;Anoia;709;166
Montmell, el;Baix Penedès;429;1863
Montmeló;Vallès Oriental;72;8793
Montoliu de Lleida;Segrià;166;494
Montoliu de Segarra;Segarra;689;180
Montornès de Segarra;Segarra;605;92
Montornès del Vallès;Vallès Oriental;116;16707
Mont-ral;Alt Camp;888;173
Mont-ras;Baix Empordà;88;1676
Mont-roig del Camp;Baix Camp;120;13101
Montseny;Vallès Oriental;528;370
Móra d'Ebre;Ribera d'Ebre;38;5585
Móra la Nova;Ribera d'Ebre;31;3198
Morell, el;Tarragonès;104;3803
Morera de Montsant, la;Priorat;743;160
Muntanyola;Osona;807;700
Mura;Bages;454;232
Nalec;Urgell;487;95
Naut Aran;Val d'Aran;1267;1923
Navarcles;Bages;269;6067
Navàs;Bages;370;6018
Navata;Alt Empordà;145;1465
Navès;Solsonès;610;305
Nou de Berguedà, la;Berguedà;876;179
Nou de Gaià, la;Tarragonès;93;636
Nulles;Alt Camp;231;541
Odèn;Solsonès;1130;252
Òdena;Anoia;421;3728
Ogassa;Ripollès;951;222
Olèrdola;Alt Penedès;189;3884
Olesa de Bonesvalls;Alt Penedès;265;2016
Olesa de Montserrat;Baix Llobregat;124;24272
Oliana;Alt Urgell;469;1849
Oliola;Noguera;452;196
Olius;Solsonès;742;985
